chunk_id,text_for_scoring,score_Contemporary_Manifestations,score_Historical_Slavery_Colonialism,score_Structural_Continuity_Neocolonial,bertje_score_Contemporary_Manifestations,bertje_score_Historical_Slavery_Colonialism,bertje_score_Structural_Continuity_Neocolonial,cosine_primary,bertje_primary
0cd00362:00044,kader wij vijf kenners gevraagd visie relatie tussen wetenschap publiek debat rol recente excuses kabinet nederlandse december daarin gespeeld allen manieren verleden hele wereld samen bieden interviews goed inzicht huidige stand debat slavernijverleden gibi bacilio dichter lid platform slavernijverleden erfenis slavernij asosiashon promoshon konsenshi istóriko ter bevordering historisch sinds houdt curaçao bezig erkenning herdenking slavernijverleden lange strijd herdenking vele belangrijke mijlpalen verzetsheld tula gerehabiliteerd uiteindelijk held verklaard samenleving sinds jaren vijftig proberen pioniers curaçao stilte rondom slavernijverleden stilte lange tijd probeerde jaren tachtig televisieprogramma koehoorn mensen interviewen niemand leek behoefte erover schaamte rondom onderwerp hing sloeg decennia erna weer later boosheid ingeruild trots hernieuwd idee kracht vanaf moment eerst verleden gepraat lag nadruk vooral emancipatie kwamen kunstprojecten theaterstukken bereiken grote publiek charles boek sklabitut rebelion vrijheidsstrijd zeer onze asosiashon promoshon konsenshi eiste doorzettingsvermogen vechten weerstand,5.490604200716361,5.631758408140815,4.628121875867143,6.008845,6.00629,5.4374914,Historical_Slavery_Colonialism,Contemporary_Manifestations
0cd00362:00047,gemaakten nederlandse geschiedenis werden enorme media-aandacht mening media wekken graag indruk allerlei nieuwe ontdekkingen terwijl vaak gaat oudere inzichten langer gemarginaliseerd maakt heel moeilijk bepalen welke rol historicus vervullen mom komen onzinnige dingen las laatst boek aangekondigd bleek gewoon hervertelling reisverslag paar europese wetenschap allerlei gebieden waarop onderzoek slavernijverleden verbeterd nederlandse historici laten nogal meeslepen hype overheid rond resulteert onderzoeken waarin nationale kader belangrijker verleden betreft beter bedenken handelaren bestuurders koloniën helemaal bezig net min slaafgemaakten ziet specifieke vlag bestuur erg toe uitwisseling kennis eigen identiteit werden bepaald koloniale historici goed ogen beurzen waarmee onderzoek archieven onderzoeken vaak nationaal mooie interdisciplinaire onderzoeken waarin archeologie grote rol opgegraven gebruiksvoorwerpen zeggen leefomstandigheden cultuur slaafgemaakten bijzonder bezig onderzoeken transitie slavernij transitie verliep tal plekken erg verschillend uitkomst proces belangrijk doorwerking slavernij excuses excuses december zowel qua vorm timing gedrukt rutte herdenkingsbeweging belangrijk doorwerkingen aangekaart excuses zullen invloed komt ruimte onderzoek doorwerkingen,4.0204440949661775,4.3113240639408925,3.4631608633866686,4.8082404,4.7336254,3.5961297,Historical_Slavery_Colonialism,Contemporary_Manifestations
0cd00362:00052,aandacht onderwijs word steeds bijna wekelijks gemaild scholieren profielwerkstuk willen schrijven slavernijverleden vraag weinig überhaupt berekend laat graag anderen betreft heel wees gewoon blij heden leeft besef verleden vreemd land wim manuhutu historicus geschiedenis molukken directeur moluks sinds studie bezig onderwerp prominent aanwezig publieke samenleving publieke debat geregeld scheiding tussen oceanen gemaakt bespreking ingegeven wetenschap scheiding lange tijd nauwelijks samenwerking tussen twee publicaties reggie baay matthias rossum vakkundig einde gemaakt idee slaafgemaakten azië mildere omstandigheden vormde belangrijk keerpunt wetenschappelijk publiek nieuwe aandacht slavernijverleden azië zorgt aziatische nazaten vinden aandacht gaat atlantische gebied nazaten atlantisch gebied vinden aziatische nazaten pas net komen concurrentiestrijd nooit moeten koloniale verdeel-en-heerspolitiek slavernijverhaal grote publiek biografische verhalen historische figuren context bieden fictie belangrijke fictie geeft academici kans nieuwe dimensies toe voegen werk gaten vullen saidiya hartmans concept critical denk onderzoeksinstellingen actief moeten sociale media plek waar jonge mensen bereikt open access-onderzoeksresultaten gedeeld publieke debat aanjagende functie,5.345042834188487,5.514023137616684,4.7420279102000205,5.8195934,5.2346725,4.8516603,Historical_Slavery_Colonialism,Contemporary_Manifestations
0cd00362:00055,naast nationale identiteit speelt slavernijverleden rol mensen beter begrip staat slavernij naast psychologisch sociologisch onderzoek vooral etnografisch onderzoek complexiteit slavernijherdenkingen volgens historicus gert oostindie vooral nederlandse auteurs steeds surinaamse geschiedenis gaan nederland koloniën west pas komst grote aantallen surinamers rondom onafhankelijkheid hoeft volgens oostindie verbazen slavenhandel slavernij meest besproken werpen koloniale verleden gaat negatieve meest tijdsbestek ruim twee wen daarmee grootste deel koloniale stamt helft surinamers merendeel antillianen af afrikanen ooit slaaf werden enkel thema gezamenlijke geschiedenis leent beter appèl nederlandse thema zulke sterke ideeën verbonden hedendaagse erfenissen mee manier vaststelling gaat alleen afgelopen twee daarvóór slavernij nederland buiten tamelijk kleine historische kring sommige surinaamse antilliaanse nederlanders juist helemaal belangrijk maatschappelijk wel se niet-nederlandse auteurs suriname alleen slavernij auteurs werden lang volgens antropoloog guno jones maken ontbreken kritische reflectie slavernijverleden dominante alleen vraag óf aandacht vooral welke soort aandacht moeten,5.303341811151826,5.249836462707657,3.782298369833757,5.174355,5.335579,3.1216996,Contemporary_Manifestations,Historical_Slavery_Colonialism
0cd00362:00061,sterke nadruk doorwerking slavernij heden roept gauw vragen zowel psychische sociale culturele doorwerkingen slavernij publieke debat beweerd systematisch wetenschappelijk onderzoek valt winnen gebied overstijgend onderzoek historisch trauma vormen waarin slavernij cultureel vlak slavernij wereld zoals tropenmuseum lezen zien delen wereld wereldbeelden kolonialisme slavernij gevormd aandeel vorming diezelfde concluderen doorwerking slavernijverleden ieder individu gaat anders wetenschap verschillende doorwerkingen omgang verleden systematisch betreft maatschappelijke onderzoek tevens nodig culturele dimensies vorm tuur domein sociale complexiteit genoemde processen wisselwerking tussen sociale culturele dimensies onderzoek zowel afzonderlijke bieden domeinoverstijgende samenwerkingen tussen psychologen annemarie wildt gouden koets januari kondigde koning willem-alexander gouden koets gebruikt zeven maanden eerder amsterdam museum opening tentoonstelling iconische koninklijke voertuig gesproken kunstenaars kritische reflecties koets amsterdamse kunstenaar airich noemde gelegenheid paneel hulde koloniën misleidende versie eigen versie toont wél dwang onmenselijkheid nederlandse,5.532707443922551,5.757940546814383,5.848242336291947,6.408452,6.101678,5.498752,Structural_Continuity_Neocolonial,Contemporary_Manifestations
0cd00362:00068,woorden historicus hilary beckles eerst besef erkenning nodig voordat instrumenten aangeboden herstellend afgelopen decennia grote veranderingen gekomen denkt aangedane leed terwijl eerst term centraal stond gaat debat sinds steeds legde kenneth stichting inzet reparations nazaten nederlands herstelbetalingen vernauwt idee herstel vanaf roept weerstand gesprek medestanders term gericht vooral terwijl toekomst barryl voorzitter landelijk platform sprak toespraak benadrukte gaat elk aspect rechten mensen afrikaanse black lives matter-beweging anti-zwarte piet activisme leidden ertoe staat slavernij overgang nieuwe termen richten claimen rechten nederland zichtbaarder publieke daarnaast focus ander soort narratief woorden cultureel antropoloog francio plaats slachtofferschap slavernij zoals caribisch gebied gebruikelijk strijd vrijheid gelijkheid systeem onderdrukking centraal erkenning familieperspectief afgelopen decennia belangenorganisaties activisten roepen plek maken dialoog rondom slavernijverleden streven gelijkwaardig persoonlijke ervaringen zwarte mensen nederland leidraad oproep manieren transformative,5.384974650340439,5.255633956070247,5.03557103483667,5.5012293,5.5826426,5.0322022,Contemporary_Manifestations,Historical_Slavery_Colonialism
0cd00362:00075,punt waar tegenwoordig aandacht besteed orale historici rol naast vastleggen onbekende herinneringen bronnen bronnen actuele vraagstukken deel afschaffingen doorwerkingen patricia kaersenhout one zeer persoonlijke serie acht werken ontsnappen onveilige verwarrende gevoelens ontstaan zwart bent overwegend witte deed twijfelen eigen identiteit plaats waar alleen ontsnappen denkbeeldige pas losten alle grenzen toegestane vrijheid realiteit via taal verbeelding bevrijd innerlijke ziel gevangen zit uiterlijke bepaald geslacht entangled one werk x cm ellen klinkers kronkelige pad slavernij arbeid opheffing slavenhandel slavernij baande weg vrije sloot nieuwe vormen dwang arbeid contractarbeid bestonden nederlandse koloniën soms naast volgden elkaar bestuderen slavernij hang dwang- contractarbeid koloniale context meerde bijdragen beter begrip transitie slavernij vrije verschillen tussen voormalige nederlandse koloniën nederlandse caribische eilanden nederlands-indië enorm betreft economie effect afschaffing ontstaan voortbestaan dwang- contractarbeid nederlandse koloniën daarom alleen lijnen grote gemene deler daarmee inzet grotendeels dienst stonden koloniale arbeid legitimeerden,6.99945921340036,6.792357913410703,6.997220761147037,6.3970942,6.5281754,5.547604,Contemporary_Manifestations,Historical_Slavery_Colonialism
0cd00362:00095,bovendien stond onrust ontstaan santo domingo franse afschaffing slavernij iedereen helder nadelige economische gevolgen jonge bataafse republiek ondanks morele bezwaren slavernij leidden sche bezwaren ertoe nieuwe grondwetsontwerp bataafse republiek onderwerp slavernij onbesproken jaar oproep vreede betrokken succesvolle campagne nieuwe grondwetsontwerp af januari pleegde vervolgens waarna radicalen nieuw grondwetsontwerp konden ontwerp bleef slavernij kennelijk thema vreede medestanders politieke prioriteit nederland gebruikte kreet staat slavernij gelijkheid bleek toepassing slaafgemaakten bataafse overzeese overgang verenigd koninkrijk nederlanden grondwet bepaald koning willem opperbestuur genoot plannen daarbij gesteund macht grondwet toebedeelde snelle herstel nederlandse slavernijgerelateerde industrieën napoleontische verlies groot deel koloniale wereldrijk behoorde nederland vanaf begin negentiende eeuw grootste slavenhoudende staten houdende plantages wel economisch belang staat recent onderzoek oprichting landsche bank wees startkapitaal waarmee oprichting instituut mogelijk gemaakt deels afkomstig ondernemers directe belangen verder steeg suiker hoewel publieke slavernij willem wilde staatskas daarvan profiteerde stuurde wetsvoorstellen tweede kamer verhoogde accijnzen koffie,5.331123847549977,5.186044290090383,4.041953049277292,4.448043,5.120968,3.6494548,Contemporary_Manifestations,Historical_Slavery_Colonialism
0cd00362:00097,abolitionisme circa politieke discussie afschaffing slavernij richtte vanaf atlantische gebieden name historici meeste aandacht besteed ondernemingen kwam nederlandse cariben grootschalige slavernij leefde curaçao liefst veertig aanzicht ministerie koloniën voormalige huygenshuis den staat slavernij bevolking caribische eilanden den nooit terwijl suriname beeld wel investeringen nederlanders grootst daarmee belangen invoering ministeriële verantwoordelijkheid medezeggenschap koloniale begrotingen koloniën langer domein gedesillusioneerd inperking macht trad willem troon ging willem adres antwoord troonrede zinspeelden eerste tweede kamer emancipatie samenleving groeide weerstand aangemoedigd britse abolitionisten organiseerden nederlandse burgers doel lande afschaffing stand opleving abolitionisme aanleiding se handelshuizen nieuwe koning wenden steun behoud koloniale eigendom petitie verklaarden belanghebbenden nederlandse regering indien regering overwoog tegenover moeten dere ondertekenaars hadden schadevergoeding ontvangen britse protesteerden rol emancipatie wilde spelen fing slavernij,5.951587718877676,5.934056828240556,5.4474781371128165,5.909956,6.3351936,4.832409,Contemporary_Manifestations,Historical_Slavery_Colonialism
0cd00362:00100,wet trad schreef gouverneur suriname hoopte groote maatregel emancipatie afgetrokkene mag denken eerstvolgende zitting stand drie mislukte pogingen afgekeurde begroting stapte rochussen naast desinteresse hoge tempo waarin ministers portefeuille koloniën doorgaven gang wetsvoorstel goed tussen wet atlantische gebieden ontving parlement zes verdedigd liefst vier verschillende bovendien eerder regel uitzondering nederlands-indië roer departement koloniën waar west-indische zaken betrof volledig moest vertrouwen dossierkennis aangevuld standpunten wisselbrief ter waarde tweehonderd gulden ten name emma uitgegeven juli ter compensatie vrijverklaren slaafgemaakten bezit afschaffingen doorwerkingen bovendien recent onderzoek informatie verd lobby amsterdamse belanghebbenden afschaffen slavernij ruil gunstige voorwaarden lobby eigenaren direct effect keuzes ministers slaagde regering vast bedrag schadevergoeding laten betalen per ongeacht leeftijd betrokkene soort plantage waar juli trad emancipatiewet werking atlantisch slavenhouders suriname ontvingen driehonderd gulden per maakte zestig gulden indien geëmancipeerde recht sint-eustasius saba ontvingen eigenaren tweehonderd gulden sint-maarten honderd gulden per verschil marktwaarde geproduceerde goederen koloniën bepaalde,3.51055597040306,3.771058879220425,3.8228049740216186,3.7558696,4.2990184,4.120197,Structural_Continuity_Neocolonial,Historical_Slavery_Colonialism
0cd00362:00101,totaal keerde nederlandse regering gulden neerkwam ruim derde groting jaar nederlandse overheid bekostigen begrotingsoverschot verkregen dwangarbeid lands-indië cultuurstelsel lange wetgevingstraject duurde beschreven opeenvolgende meeste dies benaderen slavernij sociaaleconomisch cultureel kwamen stand auspiciën koninklijk instituut land- volkenkunde leiden werden grote deel geschreven nederlandse belangrijke impuls geschiedschrijving nederlandse cariben ontstond later reactie baanbrekend britse historicus seymour richtte vraag causaal verband bestond tussen kapitalisme afschaffing historicus gert gaf reactie alternatieve verklaring late afschaffing bescheiden economisch belang slavernij seerde productie atlantisch gebied zorgde ervoor thema politieke prioriteit hernieuwde aandacht belang slavernij atlantisch systeem maakt verklaring mogelijk minder plausibel tijd lijkt rijp antwoorden richting surinaamse historicus joseph siwpersad schreef standaardwerk nederlandse regering afschaffing staat slavernij slavernij beschouwde slavernij daarin primair politieke vanuit betoogde juist economisch gemotiveerde eigenaren besluitvorming afschaffing slavernij staatstoezicht circa formele afschaffing slavernij betekende slaafgemaakten oktober begon periode staatstoezicht regering ingesteld,4.267219112574554,4.00418784311632,3.997633461398544,4.1980033,4.8308115,3.9147184,Contemporary_Manifestations,Historical_Slavery_Colonialism
0cd00362:00105,historicus ulbe bosma gewezen overeenkomsten behandeling arbeiders koloniale mogendheden tweede helft negentiende tegenstelling landen beschouwde nederland voormalig slaafgemaakten emancipatie nederlands politieke besluitvorming ten grondslag lag keuze alternatieve vormen burgerschap later plaats vragen pas daarna zullen doorwerking slavernijverleden lange termijn beter ulbe bosma gedwongen verplaatsing illegale slavenhandel afschaffing teruggave koloniale gebieden britse regering verplichtte nederland slavenhandel koloniën wateren verbieden ging daarbij nederlandse nederlandse vestiging elmina kust huidige indonesische afschaffing verliep weinig voortdurende mensenroof slavenhandel aziatische deel koloniale bezittingen verreweg atlantische gebied lagen politiek vanwege aanhoudende grootschalige illegale name portugese spaanse digden nederlanders regelmatig laksheid zelfs heid stand houden slavernij indonesische archipel nederlandse gezag vroeg negentiende eeuw meeste plaatsen indonesische archipel slechts marginaal alleen java molukken bestuur direct ingrijpen lokale verhoudingen daarnaast veelvuldig voorkomende pings vooral effectief kwam eeuwen koloniale slavenhandel snel toenemende vraag allerhande zoals rotan chinese europese markt waarschijnlijk oeroude praktijken mensenroof flink hadden,6.205926485366136,6.07139700442977,5.235649901688798,6.037042,6.580428,4.708655,Contemporary_Manifestations,Historical_Slavery_Colonialism
0cd00362:00111,afschaffingen doorwerkingen nederlandse hen vervolgens ling plantages werk vertrekken net zomin toegestaan soldaten engelse protesten werving elmina moeten niettemin gezien achtergrond omvangrijke illegale slaventransporten atlantische waarin kaanse franse steeds wisselende namen vlaggen rol nederland ging daarbij constateerde engels oorlogsschip slavenhandel accra plaatsvond se volle slechts paar honderd meter engelse later historicus joseph dorsey vermoeden geuit link bestond west-afrika waardoor afrikanen gebied gesmokkeld konden daarbij schepen vaststaat elmina regelmatig werden voorzien voedsel land britse politici laksheid verstrekking roeiers proviandering inging brits-nederlandse nederlandse excuus tevoren weten schip slavenhaler londen hoongelach ruimen immers duidelijk herkenbaar doel staat slavernij suriname surinaamse suikerplantages hadden begin negentiende eeuw dringend behoefte vooral extreem zware werkomstandigheden sterfte ondernemingen hoog aantal geboortes planters kochten slaafgemaakten vanuit krimpende,4.92789197283606,4.921800343353705,4.075819087680338,4.7579937,5.859819,4.712909,Contemporary_Manifestations,Historical_Slavery_Colonialism
